vertiport,long,lat,vertihub
0,-88.07761553021267,41.69108946588497,1750
1,-88.3355120961112,42.2843145860877,136
2,-87.59029384690663,41.73680300959495,1962
3,-87.86746363280773,42.01371882456017,1767
4,-89.1438885702334,42.1285613144633,372
5,-86.835755771544,41.7091666639825,1061
6,-88.76277985915009,41.4997948706307,331
7,-88.1400945471215,42.4589680444838,550
8,-87.7562545177986,41.317867685062,568
9,-87.18232625848141,41.536099018746,940
10,-88.51830768736109,41.829741866133794,887
11,-87.69283909487486,41.93574844553936,1831
12,-88.71917325309829,42.7116912606405,608
13,-87.837337545041,42.2107458303989,1761
14,-88.06014329895305,41.85573885099453,1870
15,-87.7752826001362,41.8197819316627,682
16,-88.05226225290775,41.5102915387035,1727
17,-87.7326930211781,41.5425017376366,1469
18,-88.15937762826995,41.9952460385976,1526
19,-87.9241893592173,42.7783342644061,979
20,-88.7335747595307,41.3032289985515,200
21,-88.31043465044134,41.73838141856765,382
22,-87.874110606659,42.4573713798055,153
23,-88.6181873551334,42.262341119345706,515
24,-89.1460843074017,42.4334514818154,890
25,-88.0688637859421,41.1610872924469,292
26,-88.33488328960578,42.5599905870469,863
27,-87.450818627861,41.449928011672895,398
28,-88.02387542746608,42.1972070448194,937
29,-89.1070880986521,41.4113094240419,423
30,-88.91080055161801,42.392346256729205,446
31,-87.79147682740509,41.0486176249695,1325
32,-88.6211014290925,42.0250040338543,1423
33,-88.3316165486271,41.2215080535064,772
34,-86.8727385122781,41.47585289422079,329
35,-88.31191103678745,42.03292723496904,1656
36,-87.87830695401614,41.8816501338678,1976
37,-87.82611224946821,41.6819658719247,1566
38,-88.10063479000316,42.04484372453057,654
39,-88.9975382130615,41.8475543409371,380
40,-88.208667352686,42.7124934275172,1337
41,-88.02532453435141,41.999795980929136,948
42,-87.7571235410845,41.995046989225315,1838
43,-87.5685727347516,41.61551926261035,1508
44,-87.6223712700583,41.8565128814487,1971
45,-87.22938493986891,41.3910417234193,1401
46,-86.6121944859631,41.6729705422719,768
47,-88.15942012576015,41.787619421503905,1030
48,-87.6899855950283,41.662528900536735,526
49,-87.85573160580435,42.3449190953403,584
50,-88.16904884516919,41.507257949805194,1722
51,-88.6777862278537,42.476599793545205,889
52,-87.94048756507149,41.77067020718947,1415
53,-89.0376032715771,42.16565797172429,1295
54,-88.45360227508971,42.6914748880384,386
55,-87.91661461807833,42.1531493760049,1905
56,-88.31114241051574,41.883681942578406,1580
57,-87.53966887261579,41.3197116837685,693
58,-88.0629752552038,42.313338854742206,1185
59,-87.0751989779944,41.3693591050172,874
60,-88.8742722176247,41.1206494609992,1205
61,-88.53774744543459,41.413885904511204,315
62,-89.3113943871387,42.3973639353335,417
63,-87.79693311825949,42.05225238507902,1739
64,-88.7730107718125,41.907343741045295,1308
65,-87.3751365008483,41.594876047464,1306
66,-88.2575712826498,42.1686539210515,375
67,-87.68687251522121,41.9970069175,1863
68,-87.66931740057619,41.790322328625265,916
69,-87.0177950611388,41.542272013303204,344
70,-87.9866337349299,42.0765010696473,146
71,-87.84481430978519,41.425975138526894,705
72,-87.78640416355593,41.8932723222353,1801
73,-87.65467886915741,41.48426820608589,1289
74,-89.1163655801148,42.3103175794677,914
75,-88.5166878058658,41.653667527333,843
76,-87.8557741814555,42.6538337273002,1294
77,-88.91373303280659,41.3238575368981,1175
78,-87.73837829672638,42.05219069913677,1864
79,-88.08122415267012,41.94238065758856,1518
80,-88.4625102276388,42.3127897342696,1701
81,-89.11308438501172,41.9625500093755,1016
82,-88.17913406833358,42.28490174556529,1207
83,-87.9885263613814,41.897321337457704,178
84,-88.676201292024,42.1317045703454,454
85,-87.9886012914914,41.3583757710446,615
86,-87.70689033938228,41.73151422444232,1169
87,-88.99956375739728,42.253130016683,1319
88,-87.63325761237449,41.1424584233433,252
89,-88.9944668259126,41.583944140429395,341
90,-88.51149167755631,42.56061549893621,516
91,-87.72431867689008,41.8712345015622,1824
92,-87.41109921956041,41.3045125428538,1141
93,-88.7930753124793,42.306015378196996,499
94,-88.3925353673303,41.3508792144486,21
95,-87.93512561708316,42.23321750896824,935
96,-88.32554070129613,42.22186682367966,1
97,-87.88960828260151,41.542411989032104,938
98,-87.86715867848959,41.2284490293783,918
99,-88.44254248490499,42.132002560935895,1019
100,-86.73041732728491,41.5395717088715,122
101,-87.97330570804354,42.37120073660405,129
102,-87.87498715859721,41.80198312397078,1115
103,-88.2421052617718,41.65094185956121,1259
104,-88.13919852760066,41.90854565036387,1429
105,-88.63032894818191,42.6909524774646,117
106,-88.2188359025877,41.310957425286205,849
107,-88.630403127032,41.6094076003043,830
108,-87.93373864258143,42.01063456293753,1981
109,-88.02340910331776,41.7872047652876,222
110,-89.0673908431737,41.3243347026797,469
111,-87.83863847659921,42.13827661207095,1073
112,-88.089430914607,42.568303458219496,1203
113,-87.1060688382412,41.62188262694921,1484
114,-88.23448612259601,41.797952739316706,325
115,-87.75625905851032,41.610213468203334,1942
116,-88.91061747501,42.2180843267153,971
117,-88.5178549086608,41.960596106476004,886
118,-86.9138581085584,41.6222764042903,1018
119,-86.8763157732464,41.302933499415104,387
120,-87.81647122113729,42.740659576521104,1251
121,-87.81438061680345,41.97971500908355,1834
122,-88.0418243978642,42.7789564097742,626
123,-87.54088449308149,41.4503675204416,1067
124,-87.6070479908753,41.5719802935147,710
125,-88.27715728453511,42.8205942122196,530
126,-87.26014197708771,41.5934821650736,1589
127,-86.718917177668,41.64995707176929,590
128,-87.93122419084521,41.9183537820017,1781
129,-88.38462944260391,42.3925915425396,861
130,-88.9604158198057,42.3991330563096,418
131,-88.3621670185999,41.7115441052115,1602
132,-87.7512830281114,41.756357281470024,822
133,-87.9159684806897,41.0539759628081,38
134,-88.687730368687,41.7404396579756,421
135,-87.33541830815908,41.4203595374015,1089
136,-87.53142674217294,41.70714006696072,1036
137,-87.968710942733,41.5991261970359,1120
138,-88.5309223135166,41.2390929399867,294
139,-87.6410578266577,41.912788905297305,1567
140,-88.71793998333321,42.8280892797832,364
141,-88.0629933457442,42.139388975221294,756
142,-87.10464937800741,41.5068963528441,147
143,-88.1789457226939,42.3722917273582,443
144,-88.50119537055879,42.4361385761597,318
145,-88.1348306590883,41.65325861509565,1041
146,-87.79775278392071,41.1338775247745,1184
147,-88.12982638671683,41.51704227017125,1488
148,-87.8951840692494,42.5962361132757,915
149,-87.600752888049,41.8201792872744,188
150,-88.24247015369579,42.0560692159041,666
151,-88.2671644263073,42.4766356612694,554
152,-88.02299752608,42.4589067771743,1461
153,-87.63271382244879,41.692450651963355,1594
154,-88.10517810725929,41.3571280965432,10
155,-89.08048346529499,41.6053397801713,425
156,-86.9882656622175,41.448913550437105,1048
157,-89.3385251989965,42.2460128645953,541
158,-88.23006296943868,41.75788233639232,1020
159,-87.7670112255674,41.4268279965071,1161
160,-87.8126663467568,41.572833021853796,1119
161,-88.05359695534823,42.074130955345396,1885
162,-87.66658326367762,41.83264943532384,1868
163,-87.8364387104049,41.952074716131,542
164,-87.8090507152618,41.740606780733174,1854
165,-87.67456249307297,42.052654632363,1880
166,-88.41923033837791,41.7547780840788,616
167,-87.85278418745378,42.38829952323088,1934
168,-87.30609871037909,41.3256942260247,848
169,-87.6654201044646,41.571773435912746,73
170,-88.30601874789585,42.110311128199655,1752
171,-88.6390582469285,42.5967572194287,1262
172,-87.91321080915455,42.0522119772324,1709
173,-88.73402831678258,41.9654386671144,664
174,-88.084217703259,41.78807490198724,1944
175,-87.76091016523328,42.115849614157,1441
176,-86.5371057309038,41.5650196142999,207
177,-87.97541753214098,42.131780851934664,1588
178,-87.6125978172381,41.3990012902434,877
179,-87.94441526929387,42.29117412078417,1395
180,-87.74603136009208,41.94391368098912,600
181,-87.9338515035823,42.6839238351425,5
182,-87.84355064474816,41.61605491989643,1468
183,-88.8856399681456,42.022389837024896,309
184,-88.1403238768119,42.1977028373647,204
185,-88.27636800357729,42.5964633735183,137
186,-89.1541921952981,42.2228277549605,607
187,-88.87940831123849,41.6737132456394,334
188,-87.9657281532678,41.5120978660261,1305
189,-87.96719452510143,41.83188662015805,1711
190,-87.85420386823989,42.537038574671605,951
191,-88.27270308866224,42.00077756335135,1648
192,-87.7249684996551,41.79930339316313,1883
193,-88.0628007791642,42.400702713308796,1091
194,-88.09681570920348,41.8625933893304,1492
195,-88.2374039440906,41.535572047049605,269
196,-87.4519766353081,41.6245850451264,142
197,-88.4044049746868,41.918473711296,645
198,-87.25881664235291,41.507266635806396,1376
199,-88.4127458230659,42.1972575984869,1367
200,-88.0104881575322,41.685545126205355,488
201,-88.84511551505649,41.4338476676866,258
202,-87.61055196024199,41.64980912663557,1156
203,-88.5008612506276,42.0883953753534,290
204,-87.4981118623321,41.5082721953206,1217
205,-88.1914589547254,41.0558259772313,243
206,-87.84182455199148,41.88984434122685,1901
207,-87.9870983375791,41.7612742083771,1984
208,-88.99958003011169,42.4569120591844,721
209,-87.74805594690926,41.6542254074062,1881
210,-88.6763987596196,41.303159870421794,482
211,-86.797174703348,41.6213129927847,624
212,-88.5599507346326,42.218682200127894,1011
213,-88.8516382675856,42.1749615980824,771
214,-87.85150781557816,42.30128367728412,210
215,-88.5608850721545,42.655305394738896,1082
216,-88.42398738316591,41.5028783160407,168
217,-88.61799433971929,42.3494547001277,277
218,-87.9885921730831,41.9492091700599,1616
219,-87.832045289807,41.81777683862075,881
220,-87.86503652754257,41.92597113809625,1949
221,-88.27220172017465,41.9135127645887,1746
222,-88.3960100912901,42.7778545519139,470
223,-87.54641677176573,41.65430514781045,1444
224,-87.83939566542759,42.0846339176044,718
225,-88.1410629115639,42.1104118422504,532
226,-89.1053180707574,41.1484225211652,346
227,-87.76937140028599,41.70070945268886,1671
228,-88.33035144751315,41.7960055416707,1757
229,-88.13164572966645,41.5659804194937,1411
230,-88.25719229021401,42.4007454568275,641
231,-87.37448091249229,41.5078802879396,1221
232,-87.9250654768179,41.4547634457078,1339
233,-87.7974766043357,42.174221448615036,1774
234,-88.6273322469751,41.522148365742,820
235,-87.72251019350651,41.4842236950542,829
236,-88.1011119256024,42.7350469586246,749
237,-87.68756556290184,41.956208291190684,1867
238,-87.9699358255371,42.047165747513084,1655
239,-87.6153512649563,41.7700020636157,1637
240,-88.1585465566432,41.2250419365364,864
241,-88.29639352204211,42.2557709592454,1273
242,-88.04173540187244,41.9482004983049,82
243,-87.8754976253919,41.162554815577,1199
244,-87.8671552426722,41.739450122140106,1683
245,-87.6260647462892,41.5279883473577,1556
246,-87.8237009465213,42.00769500602415,1784
247,-87.194050021341,41.28205660822721,579
248,-88.575690975718,41.872421421679,229
249,-88.44279018160931,42.6260000352454,1263
250,-89.1979066045365,42.2695754068404,879
251,-88.8805072128339,42.2836863790212,538
252,-89.10660761623829,41.2951675264852,1229
253,-88.99084038978901,41.2362985419484,235
254,-87.74721472970998,41.84145265659772,941
255,-86.95897251057009,41.3251765448811,729
256,-87.68177205485925,41.89216334075194,1534
257,-86.7608200406344,41.391998082154394,218
258,-88.2431649083309,41.884950180293,1213
259,-88.88460464029741,41.8484512780635,257
260,-88.5757900443095,41.741791840955,836
261,-89.0383864848901,42.3401196907374,1238
262,-89.11137721983509,41.759420200674796,357
263,-88.99079247506751,41.3238568655653,445
264,-87.5570483236447,41.7544163521502,1572
265,-87.74103836487305,41.90596732736688,995
266,-87.79110932146679,41.9418834834199,1789
267,-86.96131633654458,41.6292656126444,491
268,-88.28663269232081,42.6833139373683,1393
269,-88.64565702821051,41.2382837417889,53
270,-88.6509734147162,41.4127001932235,438
271,-87.8718447220496,41.316541320977,303
272,-86.55370562847129,41.74895988197439,1035
273,-88.04229552040859,41.270663046886604,349
274,-87.63555502466181,41.86781827974378,1997
275,-88.7932493530407,42.1316721466302,676
276,-88.75942593969509,41.1502301846374,342
277,-86.72920417248791,41.74859555100821,415
278,-88.40539448845449,42.005835139793,628
279,-87.93191809220819,42.5089397107872,566
280,-87.96977366978979,41.6803737324522,752
281,-88.0012715553257,41.4243845866311,1292
282,-88.33487826037691,41.3520204916,761
283,-88.15886838959509,42.8215323092856,793
284,-87.8650250819889,42.82085072678311,882
285,-87.80992887054329,41.513634257880994,1519
286,-86.55340751383271,41.4762073059823,18
287,-88.12808012814301,42.5101709009403,647
288,-87.63541992805717,41.748015774901624,1823
289,-89.15012342335051,41.904130230312205,1320
290,-88.0941417430962,41.53968511589705,1050
291,-87.87602908643937,42.37545033521638,1762
292,-88.78976834723551,41.3030235113331,851
293,-87.72243436509996,42.079017194040034,1911
294,-87.67213618516463,41.713772004255766,462
295,-88.30641361500744,42.31356786129155,871
296,-88.0144587991848,42.102937397597,1562
297,-88.0786037613197,41.7201703725319,1697
298,-87.81069487427465,41.7771138321558,1909
299,-87.33999443873378,41.223154779842794,519
300,-89.34334533454599,42.4808913085202,100
301,-87.3736982888995,41.362171161427796,1201
302,-87.4979742535558,41.421101128428795,1360
303,-88.32561166590945,42.16842325522405,1736
304,-88.11819810976813,41.74858559449693,1712
305,-88.2140848677183,41.8854278235893,350
306,-89.22856915630008,42.4206471442355,326
307,-87.53091859657457,41.57939060359663,203
308,-88.03987621183578,41.72128140793103,347
309,-87.61604309493373,41.8890597740788,1918
310,-88.7473109324712,42.645828045051104,767
311,-87.80027862768648,42.090158925939804,1015
312,-88.04634443124571,41.6263463347382,365
313,-87.9821357193965,41.0961433544478,278
314,-87.65666089977111,41.979864160244816,1520
315,-87.95527569709662,42.1899387748307,1540
316,-87.6554439779864,41.67470154790448,1811
317,-88.55998740323929,42.3928445914987,857
318,-87.13311719250771,41.4128789267144,1017
319,-87.92933087955826,41.85465943293463,1748
320,-87.69017093572641,41.4274096521125,964
321,-87.72093361072356,42.02447996696705,71
322,-88.41759037129259,41.241353685873705,451
323,-88.4625322396149,41.8742419376459,720
324,-87.89777860251003,42.10950635404427,274
325,-88.00609401680613,42.145170219031606,936
326,-88.9201306193317,42.312374425152605,1333
327,-88.45004950220819,41.349595590999705,726
328,-88.2716564681652,41.731827025240754,1729
329,-88.1113527324566,42.3718476146512,1745
330,-88.06264638634408,42.2553658348956,1356
331,-87.99407461985024,42.23342678178443,1639
332,-87.9818824528362,42.560476329724004,723
333,-88.9131433983547,41.1785549571391,1247
334,-87.9250342023064,41.1844285789295,788
335,-88.00957372505816,41.84079607418425,1490
336,-87.70206120827997,41.82627949946502,1830
337,-88.3150127958296,41.5924623678247,404
338,-87.4506311850648,41.3626834830605,1331
339,-86.61081080596969,41.5410550984441,563
340,-86.95971227247809,41.541246997529896,493
341,-88.5136440364296,42.735343145391795,778
342,-88.68075618406179,42.7701988067285,1264
343,-88.32299917798173,41.91078258158549,1524
344,-87.79429998453855,41.99078510346846,1782
345,-88.44243584059309,42.4758325523284,880
346,-88.6978343194693,42.0525704950014,1347
347,-88.03389190951046,42.342383417370456,384
348,-88.9979424457244,41.9348351979248,125
349,-88.2239277399046,41.4414174985245,934
350,-88.2175480370823,42.6184671804681,406
351,-88.27230193578211,41.79715224882985,1660
352,-88.2398451464789,41.593194279415,1121
353,-88.7717688847328,41.761680484986,87
354,-87.87683849430586,42.1747189375659,1542
355,-87.1828656351375,41.565110464161,1394
356,-87.59151329607691,41.0650091893565,374
357,-87.909349298943,41.9796945177902,1618
358,-88.06015126552023,42.0355024828984,959
359,-87.8206236699412,42.4822311449146,299
360,-87.59534314628358,41.25297580964921,455
361,-89.1158225269757,42.2231485083503,1256
362,-87.70873488341846,41.6182443412455,220
363,-88.1971099710962,41.78644717634602,1522
364,-88.617545674797,42.1317263264114,817
365,-88.1796584414394,42.197952702867106,1197
366,-87.80876597039166,41.840896423671744,1592
367,-88.1081408937702,41.44384978499279,612
368,-87.85383540012752,42.0512156938634,597
369,-88.7348909482769,42.3060917651061,359
370,-87.58711424596879,41.513595609909004,635
371,-88.4525115455085,42.2549786503047,1340
372,-88.41463305895891,41.153826141445705,233
373,-88.99223737535542,41.4974847295095,358
374,-88.85144643608672,42.3930216006962,161
375,-88.3254894974019,42.4362747186849,461
376,-88.76176468639099,41.4120542870926,111
377,-88.4570853210048,41.6546589895615,230
378,-88.26742664903271,42.10334613322961,1209
379,-89.08849235535851,42.4761393456893,991
380,-87.698925810163,41.3619371443428,228
381,-88.9038206089883,41.389425503975794,1096
382,-87.2294456990346,41.449135286518704,1146
383,-88.042101867105,42.7352140476006,86
384,-88.2751148014213,41.2662576042883,784
385,-86.87235859594071,41.3902863719295,29
386,-88.8106229053957,41.936203421780796,481
387,-86.97483388755458,41.2446678830678,196
