vertiport,long,lat,vertihub
0,-87.86793513775183,42.113022941897285,12
1,-87.98367833524149,41.75537922220125,8
2,-88.99686409072602,42.43145284322427,30
3,-87.0086588734345,41.3198020160122,16
4,-87.70693467302983,41.73522239771515,0
5,-88.37097785788316,41.721232536769854,15
6,-88.70539956720825,42.141602478926124,20
7,-88.16020179663309,42.189398720174395,24
8,-88.94079443980563,41.46023056898325,3
9,-88.09527545354213,42.76267280730196,6
10,-87.34191359606533,41.54796622989152,16
11,-87.75633605623297,41.991456668631585,27
12,-87.6211302253781,41.16305298902157,10
13,-88.64726587135993,42.63116694200247,22
14,-88.11316986125115,41.45092497862963,5
15,-86.5859094383548,41.69005089880658,23
16,-88.16850673334386,41.78002546054545,15
17,-88.03551284016197,41.93978956448888,29
18,-87.85579634923401,42.367622354721185,9
19,-88.20906482884745,42.43891922151853,24
20,-87.65858175585205,41.50569424699269,19
21,-87.69727086868014,41.82577308455332,27
22,-89.11245479247846,41.94220108364056,14
23,-88.79612907871515,41.231888226858324,3
24,-87.56325596747908,41.61628129126393,19
25,-89.16041396038806,42.22766762140297,30
26,-87.87350072632186,41.94043540758355,8
27,-88.27874024102321,42.02545187641108,2
28,-88.34215515853428,41.22935250915319,26
29,-88.31457347926397,42.213391421719024,2
30,-88.6548466109846,41.54385921397686,7
31,-87.87289819874181,42.636709447720094,28
32,-87.98100029816665,42.064769023045784,29
33,-87.80377705744377,41.71229612412628,18
34,-87.0631740143773,41.60642916133365,4
35,-88.02850103731211,42.29000456473895,24
36,-88.48702335596346,42.63191058900522,22
37,-87.80085421560597,41.92598688802477,27
38,-87.64411982771573,41.887867114854586,27
39,-87.59997908644137,41.77970419164125,0
40,-88.3342536928323,41.91065658979721,15
41,-88.89668915358578,42.20214953762721,1
42,-87.49310314521928,41.37301134632819,11
43,-87.81488249480529,41.27579960378937,10
44,-88.76531639881442,41.93447241904767,20
45,-87.73454168067234,41.49852123835905,19
46,-88.03199541806127,41.523752487472926,5
