vertiport,long,lat,vertihub
0,-88.12188192185292,42.41851083476688,2
1,-87.7730270247947,41.745196481865584,1
2,-88.29446802276469,42.020223604261396,5
3,-86.99922197835215,41.41372552549943,10
4,-88.40877007551822,41.33769341689665,4
5,-88.64281163018396,42.321158306318914,7
6,-87.78008814745174,41.87615151877169,11
7,-88.06605694829538,41.89436387431133,5
8,-87.59427116660969,41.2597992635022,9
9,-89.06805290860859,41.83622191946093,0
10,-88.32872525479759,41.778311918430454,4
11,-88.41577014926055,42.51623734657777,7
12,-89.07371204237731,41.3589369851515,6
13,-87.88337108158181,42.34211791346076,2
14,-87.56538830972674,41.61775235326436,1
15,-88.33166014158694,42.245174368118185,7
16,-89.25564766889744,42.356287627013494,8
17,-87.95615783758254,42.04264115537579,5
18,-87.86540380501249,41.13590170898784,9
19,-87.89511106254241,42.72394948120463,2
20,-88.10716597896423,41.533509888168844,4
21,-88.96398839417151,42.363993354855424,8
22,-88.76852318226341,41.977962357466915,0
23,-87.84290157851638,42.15128846129819,5
24,-86.88287420997558,41.65176306381287,3
25,-87.9784245355683,41.75968383665448,11
26,-87.42689020794855,41.50528990168301,10
27,-88.62143229530967,42.68408203865983,7
28,-87.69535250058055,41.94564305503777,11
29,-87.70607702089396,41.63963574097068,1
30,-87.60468945951297,41.747423359277505,1
31,-87.31629305481685,41.36153718068757,10
32,-88.09923238901735,42.04580411524061,5
33,-88.613642165798,41.66145847349968,0
34,-87.86149093357423,41.526185584517286,1
35,-87.82401738396695,42.00809590649985,11
36,-86.67572843902776,41.60976241787626,3
37,-88.56483894098442,42.026479684561394,0
38,-87.18204657510672,41.55273189670145,10
39,-88.14784857458909,41.28061376888355,4
40,-87.65868782823026,41.8526665933713,11
41,-89.0507307990418,42.20026752905117,8
42,-88.81084149341862,41.29100773262521,6
43,-88.16334091222096,41.7635307887344,4
44,-87.7222714516673,42.03405784366538,11
45,-87.88380657695934,42.510969220316916,2
46,-87.67133662964554,41.49027992032995,1
47,-87.892504364665,41.886528191981164,11
48,-88.23592639298955,42.71797891893355,7
49,-88.00144592029147,42.18018197388974,5
