vertiport,long,lat,num_vertihubs,vertihub_0
0,-87.86793513775183,42.113022941897285,1,11
1,-87.98367833524149,41.75537922220125,1,52
2,-88.99686409072602,42.43145284322427,1,5
3,-87.0086588734345,41.3198020160122,1,17
4,-87.70693467302983,41.73522239771515,1,36
5,-88.37097785788316,41.721232536769854,1,21
6,-88.70539956720825,42.141602478926124,1,31
7,-88.16020179663309,42.189398720174395,1,28
8,-88.94079443980563,41.46023056898325,1,9
9,-88.09527545354213,42.76267280730196,1,60
10,-87.34191359606533,41.54796622989152,1,8
11,-87.75633605623297,41.991456668631585,1,37
12,-87.6211302253781,41.16305298902157,1,53
13,-88.64726587135993,42.63116694200247,1,23
14,-88.11316986125115,41.45092497862963,1,26
15,-86.5859094383548,41.69005089880658,1,3
16,-88.16850673334386,41.78002546054545,1,48
17,-88.03551284016197,41.93978956448888,1,22
18,-87.85579634923401,42.367622354721185,1,14
19,-88.20906482884745,42.43891922151853,1,18
20,-87.65858175585205,41.50569424699269,1,49
21,-87.69727086868014,41.82577308455332,1,0
22,-89.11245479247846,41.94220108364056,1,41
23,-88.79612907871515,41.231888226858324,1,51
24,-87.56325596747908,41.61628129126393,1,32
25,-89.16041396038806,42.22766762140297,1,43
26,-87.87350072632186,41.94043540758355,1,20
27,-88.27874024102321,42.02545187641108,1,2
28,-88.34215515853428,41.22935250915319,1,57
29,-88.31457347926397,42.213391421719024,1,15
30,-88.6548466109846,41.54385921397686,1,1
31,-87.87289819874181,42.636709447720094,1,6
32,-87.98100029816665,42.064769023045784,1,11
33,-87.80377705744377,41.71229612412628,1,36
34,-87.0631740143773,41.60642916133365,1,54
35,-88.02850103731211,42.29000456473895,1,28
36,-88.48702335596346,42.63191058900522,1,23
37,-87.80085421560597,41.92598688802477,1,20
38,-87.64411982771573,41.887867114854586,1,0
39,-87.59997908644137,41.77970419164125,1,0
40,-88.3342536928323,41.91065658979721,1,44
41,-88.89668915358578,42.20214953762721,1,19
42,-87.49310314521928,41.37301134632819,1,27
43,-87.81488249480529,41.27579960378937,1,7
44,-88.76531639881442,41.93447241904767,1,45
45,-87.73454168067234,41.49852123835905,1,49
46,-88.03199541806127,41.523752487472926,1,26
47,-88.11337546792276,41.541919986385814,1,26
48,-87.876123230609,41.790724174592555,1,36
49,-88.55978197956372,42.284011206942736,1,61
50,-89.30947026994882,42.43684928676612,1,24
51,-88.06504204309451,42.04526649116986,1,11
52,-88.60538322759226,42.465333663225195,1,34
53,-88.01971478002302,42.514477150410514,1,18
54,-87.86122498365259,42.285058099741576,1,39
55,-87.25034473783906,41.33778895142386,1,38
56,-88.11522753455655,41.89425934269978,1,22
57,-86.95092167064352,41.4835847748581,1,54
58,-88.24158795632277,42.735677017323596,1,60
59,-86.84040751116876,41.70516789864469,1,33
60,-87.81972613489303,41.15405681615805,1,7
61,-87.73583085264117,42.07115318605323,1,37
62,-87.87140650332566,41.527276966449826,1,12
63,-87.69065931671413,42.02113692340972,1,37
64,-88.29862888984536,41.75644159856311,1,21
65,-88.53158946119899,41.81508084319589,1,56
66,-88.08875541527946,41.78469481039647,1,4
67,-88.03055632616046,42.13079286545391,1,11
68,-88.43822913040682,41.398428071449054,1,25
69,-89.08978658006023,41.5695546082598,1,55
70,-87.9824906743011,41.17278321674171,1,35
71,-88.70198014004426,42.786323457310665,1,58
72,-89.08960450751917,41.30527956202069,1,42
73,-87.45329242160473,41.581640950895974,1,8
74,-88.88610649693378,41.14964259251736,1,51
75,-87.8207481320645,42.76273024311016,1,6
76,-87.72611255074227,41.90352677946909,1,0
77,-87.84276648282963,41.05492032138463,1,7
78,-87.94095168311317,41.90208846468904,1,20
79,-89.06526175103663,42.15925085636308,1,50
80,-88.90950541714425,41.67329136633877,1,47
81,-88.5118551091727,42.10834118957788,1,30
82,-87.08617985190712,41.467525806596946,1,54
83,-87.85001526632655,41.62916859174135,1,12
84,-88.17016748729166,42.29155520734761,1,28
85,-87.79229278522611,41.41927351706945,1,29
86,-87.73086184249566,41.657622778348774,1,32
87,-87.20610888002498,41.57626361929747,1,8
88,-88.27244667278964,42.11585933401011,1,2
89,-88.09219282752926,41.67828129120785,1,4
90,-88.09583449620376,42.38191913923295,1,28
91,-88.87693201834918,42.34435807734853,1,63
92,-87.65569652076749,41.66083866062578,1,32
93,-87.77806562476417,41.85266035833894,1,36
94,-87.94224904924258,41.393344011974506,1,29
95,-88.4564190371608,42.44706248050104,1,34
96,-88.14538062930393,41.98860008960062,1,22
97,-87.91334496179329,42.03629485806557,1,11
98,-87.96461602885925,42.37186047492672,1,14
99,-87.87122420090292,42.50526532971928,1,14
100,-88.3955844015108,42.777808752953455,1,10
101,-88.57678119422238,41.2214319057473,1,40
102,-87.85568153932336,41.875975426890186,1,20
103,-88.22592149958693,41.63508941115588,1,48
104,-88.64369708624697,42.01268768111472,1,31
105,-87.4062723923771,41.28214814733381,1,27
106,-86.79196918983438,41.58884136759826,1,3
107,-88.08670007781245,41.31986259737993,1,13
108,-87.55280886111719,41.714617708159125,1,32
109,-87.64052885184798,41.37859944784397,1,49
110,-88.85866157682881,41.34922649816582,1,9
111,-86.61382192255118,41.53750011370558,1,62
112,-88.42203149754769,42.29947262699249,1,15
113,-88.34588556218797,42.50722441356569,1,34
114,-87.8336432007332,42.01317189029041,1,37
115,-87.95687644741061,42.250437085658554,1,39
116,-87.38583349544861,41.42233244903927,1,27
117,-87.76961383883153,41.777976738251446,1,36
118,-87.98437332409479,41.829410237066476,1,52
119,-87.82854467755081,42.19052790713199,1,39
120,-88.68679421487182,41.751285968282026,1,1
121,-87.5668430292812,41.498096457649915,1,49
122,-89.31086345963129,42.31129985869113,1,24
123,-88.5062686965762,41.946175586097965,1,59
124,-88.98422327147831,42.280328053766475,1,43
125,-87.94285927719048,42.74734184077171,1,6
126,-87.2440111410022,41.45901447733344,1,38
127,-88.12722993855334,42.53731091647885,1,18
128,-87.67891497069493,41.953736434340854,1,0
129,-89.11704161960587,42.43329443937647,1,5
130,-87.63355524866942,41.830406986650075,1,0
131,-88.72896241564662,42.327268080066005,1,63
132,-86.80987832203168,41.3758458404335,1,46
133,-88.0571644942783,41.04537939152583,1,35
134,-88.05970370450635,41.860501140652836,1,22
