vertiport,long,lat,vertihub
0,-87.86793513775183,42.113022941897285,9
1,-87.98367833524149,41.75537922220125,11
2,-88.99686409072602,42.43145284322427,6
3,-87.0086588734345,41.3198020160122,5
4,-87.70693467302983,41.73522239771515,14
5,-88.37097785788316,41.721232536769854,8
6,-88.70539956720825,42.141602478926124,1
7,-88.16020179663309,42.189398720174395,9
8,-88.94079443980563,41.46023056898325,15
9,-88.09527545354213,42.76267280730197,7
10,-87.34191359606533,41.54796622989152,0
11,-87.75633605623297,41.991456668631585,3
12,-87.6211302253781,41.16305298902157,12
13,-88.64726587135993,42.63116694200247,13
14,-88.11316986125114,41.45092497862964,4
15,-86.5859094383548,41.69005089880658,5
16,-88.16850673334386,41.78002546054545,11
17,-88.03551284016197,41.93978956448888,11
18,-87.85579634923401,42.367622354721185,9
19,-88.20906482884745,42.43891922151853,1
20,-87.65858175585205,41.50569424699269,14
21,-87.69727086868012,41.82577308455332,3
22,-89.11245479247846,41.94220108364056,10
23,-88.79612907871515,41.231888226858324,15
24,-87.56325596747908,41.61628129126393,14
25,-89.16041396038804,42.22766762140297,6
26,-87.87350072632186,41.94043540758355,3
27,-88.27874024102321,42.02545187641108,8
28,-88.34215515853428,41.22935250915319,2
29,-88.31457347926397,42.213391421719024,1
30,-88.6548466109846,41.54385921397686,2
31,-87.87289819874181,42.636709447720094,7
32,-87.98100029816665,42.064769023045784,9
33,-87.80377705744375,41.71229612412629,14
34,-87.0631740143773,41.60642916133365,5
35,-88.02850103731211,42.29000456473895,9
36,-88.48702335596346,42.63191058900522,13
37,-87.80085421560597,41.92598688802477,3
38,-87.64411982771573,41.887867114854586,3
39,-87.59997908644137,41.77970419164125,14
40,-88.33425369283232,41.91065658979721,8
41,-88.89668915358578,42.20214953762721,6
42,-87.49310314521928,41.37301134632819,0
43,-87.81488249480529,41.27579960378937,12
44,-88.76531639881442,41.93447241904767,10
45,-87.73454168067234,41.49852123835905,14
46,-88.03199541806127,41.523752487472926,4
47,-88.11337546792276,41.541919986385814,4
48,-87.876123230609,41.790724174592555,3
49,-88.55978197956372,42.284011206942736,1
50,-89.30947026994883,42.43684928676611,6
51,-88.06504204309451,42.04526649116987,11
52,-88.60538322759226,42.46533366322519,13
53,-88.01971478002302,42.514477150410514,7
54,-87.86122498365259,42.285058099741576,9
55,-87.25034473783906,41.33778895142386,0
56,-88.11522753455655,41.89425934269978,11
57,-86.95092167064352,41.4835847748581,5
58,-88.24158795632277,42.735677017323596,7
59,-86.84040751116876,41.70516789864469,5
60,-87.81972613489303,41.15405681615805,12
61,-87.73583085264117,42.07115318605323,3
62,-87.87140650332566,41.527276966449826,14
63,-87.69065931671413,42.02113692340972,3
64,-88.29862888984536,41.75644159856311,8
65,-88.53158946119899,41.81508084319589,8
66,-88.08875541527946,41.78469481039647,11
67,-88.03055632616046,42.13079286545391,9
68,-88.43822913040682,41.398428071449054,2
69,-89.08978658006023,41.5695546082598,15
70,-87.9824906743011,41.17278321674171,12
71,-88.70198014004426,42.786323457310665,13
72,-89.08960450751917,41.30527956202069,15
73,-87.45329242160474,41.581640950895974,0
74,-88.88610649693378,41.14964259251736,15
75,-87.8207481320645,42.76273024311016,7
76,-87.72611255074226,41.90352677946909,3
77,-87.84276648282965,41.05492032138463,12
78,-87.9407390627762,41.901075093314944,11
79,-89.06526175103663,42.15925085636308,6
80,-88.90950541714426,41.67329136633877,10
81,-88.5118551091727,42.10834118957788,1
82,-87.08617985190712,41.467525806596946,5
83,-87.85001526632655,41.62916859174135,14
84,-88.17016748729166,42.29155520734761,9
85,-87.79229278522611,41.41927351706945,14
86,-87.73086184249566,41.657622778348774,14
87,-87.20610888002498,41.57626361929747,0
88,-88.27244667278964,42.11585933401011,1
89,-88.09219282752926,41.67828129120785,4
90,-88.09583449620376,42.38191913923295,9
91,-88.87693201834917,42.34435807734853,6
92,-87.65569652076749,41.66083866062578,14
93,-87.77806562476417,41.85266035833894,3
94,-87.94224904924258,41.393344011974506,12
95,-88.4564190371608,42.44706248050104,1
96,-88.14538062930393,41.98860008960062,11
97,-87.91334496179329,42.03629485806557,3
98,-87.96461602885925,42.37186047492672,9
99,-87.87122420090293,42.50526532971928,7
100,-88.3955844015108,42.777808752953455,13
101,-88.57678119422238,41.2214319057473,2
102,-87.85568153932336,41.875975426890186,3
103,-88.22592149958693,41.63508941115588,4
104,-88.64369708624697,42.01268768111472,8
105,-87.4062723923771,41.282148147333814,0
106,-86.79196918983438,41.58884136759826,5
107,-88.08670007781245,41.31986259737993,12
108,-87.55280886111719,41.714617708159125,14
109,-87.64052885184798,41.37859944784397,0
110,-88.85866157682881,41.34922649816582,15
111,-86.61382192255118,41.53750011370558,5
112,-88.4220314975477,42.2994726269925,1
113,-88.34588556218797,42.50722441356569,13
114,-87.8336432007332,42.01317189029041,3
115,-87.95687644741061,42.250437085658554,9
116,-87.38583349544861,41.42233244903927,0
117,-87.76961383883153,41.77797673825144,3
118,-87.9843733240948,41.829410237066476,11
119,-87.82854467755081,42.19052790713199,9
120,-88.68679421487182,41.751285968282026,10
121,-87.5668430292812,41.498096457649915,0
122,-89.3108634596313,42.31129985869113,6
123,-88.5062686965762,41.946175586097965,8
124,-88.98422327147831,42.280328053766475,6
125,-87.94285927719048,42.74734184077171,7
126,-87.2440111410022,41.45901447733344,0
127,-88.12722993855334,42.53731091647885,7
128,-87.67891497069493,41.95373643434085,3
129,-89.11704161960586,42.43329443937647,6
130,-87.63355524866944,41.830406986650075,3
131,-88.72896241564662,42.327268080066,1
132,-86.80987832203168,41.3758458404335,5
133,-88.0571644942783,41.04537939152583,12
134,-88.05970370450635,41.860501140652836,11
135,-87.97412462244121,41.97793707552017,11
136,-88.9416088672925,41.93506515455875,10
137,-87.9695846199257,41.63636459878118,4
138,-88.24621701435572,41.878761008437415,11
139,-89.08250702134418,41.75947537708573,10
140,-88.14699542109432,42.06608789957086,11
141,-88.21797042922205,41.51097100398599,4
142,-88.27404903110136,41.35060600474394,2
143,-88.4912831088968,41.696727117363906,8
144,-87.9385810374403,42.144383870000155,9
145,-87.65815475219601,41.57969578462719,14
146,-86.71904239636764,41.67152907454364,5
147,-87.80323241783692,42.07877724844332,3
148,-88.29885930880582,42.33403284039083,1
149,-88.17104022587957,41.2403662076743,12
150,-88.41681735444975,42.181328048188554,1
151,-88.67339136859464,41.33769329574802,2
152,-88.33865180440796,42.03516400608389,8
153,-86.91959490083153,41.633740524831865,5
154,-87.77211672283897,41.58694008311793,14
155,-88.22802451400743,41.75971033332947,11
156,-88.35111648482447,41.80893023388425,8
157,-89.08790944771316,42.31453818738161,6
158,-87.62018655289056,41.72788934177385,14
159,-88.26458447516653,42.60957658204011,13
