vertiport,long,lat,vertihub,additional_vertihub_0,additional_vertihub_1
0,-87.86793513775183,42.113022941897285,5,12,13
1,-87.98367833524149,41.75537922220125,1,15,-1
2,-88.99686409072602,42.43145284322427,0,-1,-1
3,-87.0086588734345,41.3198020160122,2,-1,-1
4,-87.70693467302983,41.73522239771515,11,14,-1
5,-88.37097785788316,41.721232536769854,1,15,-1
6,-88.70539956720825,42.141602478926124,6,16,-1
7,-88.16020179663309,42.189398720174395,5,12,13
8,-88.94079443980563,41.46023056898325,4,-1,-1
9,-88.09527545354213,42.76267280730196,3,-1,-1
10,-87.34191359606533,41.54796622989152,2,-1,-1
11,-87.75633605623297,41.991456668631585,5,12,13
12,-87.6211302253781,41.16305298902157,7,-1,-1
13,-88.64726587135993,42.63116694200247,9,-1,-1
14,-88.11316986125115,41.45092497862963,10,-1,-1
15,-86.5859094383548,41.69005089880658,8,-1,-1
16,-88.16850673334386,41.78002546054545,1,15,-1
17,-88.03551284016197,41.93978956448888,5,12,13
18,-87.85579634923401,42.367622354721185,3,-1,-1
19,-88.20906482884745,42.43891922151853,3,-1,-1
20,-87.65858175585205,41.50569424699269,11,14,-1
21,-87.69727086868014,41.82577308455332,11,14,-1
22,-89.11245479247846,41.94220108364056,0,-1,-1
23,-88.79612907871515,41.231888226858324,4,-1,-1
24,-87.56325596747908,41.61628129126393,11,14,-1
25,-89.16041396038806,42.22766762140297,0,-1,-1
26,-87.87350072632186,41.94043540758355,5,12,13
27,-88.27874024102321,42.02545187641108,6,16,-1
28,-88.34215515853428,41.22935250915319,10,-1,-1
29,-88.31457347926397,42.213391421719024,6,16,-1
30,-88.6548466109846,41.54385921397686,4,-1,-1
31,-87.87289819874181,42.636709447720094,3,-1,-1
32,-87.98100029816665,42.064769023045784,5,12,13
33,-87.80377705744377,41.71229612412628,11,14,-1
34,-87.0631740143773,41.60642916133365,2,-1,-1
35,-88.02850103731211,42.29000456473895,3,-1,-1
36,-88.48702335596346,42.63191058900522,9,-1,-1
37,-87.80085421560597,41.92598688802477,5,12,13
38,-87.64411982771573,41.887867114854586,11,14,-1
39,-87.59997908644137,41.77970419164125,11,14,-1
40,-88.3342536928323,41.91065658979721,6,16,-1
41,-88.89668915358578,42.20214953762721,0,-1,-1
42,-87.49310314521928,41.37301134632819,2,-1,-1
43,-87.81488249480529,41.27579960378937,7,-1,-1
44,-88.76531639881442,41.93447241904767,6,16,-1
45,-87.73454168067234,41.49852123835905,11,14,-1
46,-88.03199541806127,41.523752487472926,1,15,-1
47,-88.11337546792276,41.541919986385814,1,15,-1
48,-87.876123230609,41.790724174592555,11,14,-1
49,-88.55978197956372,42.284011206942736,9,-1,-1
50,-89.30947026994882,42.43684928676612,0,-1,-1
51,-88.06504204309451,42.04526649116986,5,12,13
52,-88.60538322759226,42.465333663225195,9,-1,-1
53,-88.01971478002302,42.514477150410514,3,-1,-1
54,-87.86122498365259,42.285058099741576,5,12,13
55,-87.25034473783906,41.33778895142386,2,-1,-1
56,-88.11522753455655,41.89425934269978,1,15,-1
57,-86.95092167064352,41.4835847748581,8,-1,-1
58,-88.24158795632277,42.735677017323596,3,-1,-1
59,-86.84040751116876,41.70516789864469,8,-1,-1
60,-87.81972613489303,41.15405681615805,7,-1,-1
61,-87.73583085264117,42.07115318605323,5,12,13
62,-87.87140650332566,41.527276966449826,11,14,-1
63,-87.69065931671413,42.02113692340972,5,12,13
64,-88.29862888984536,41.75644159856311,1,15,-1
65,-88.53158946119899,41.81508084319589,6,16,-1
66,-88.08875541527946,41.78469481039647,1,15,-1
67,-88.03055632616046,42.13079286545391,5,12,13
68,-88.43822913040682,41.398428071449054,10,-1,-1
69,-89.08978658006023,41.5695546082598,4,-1,-1
70,-87.9824906743011,41.17278321674171,7,-1,-1
71,-88.70198014004426,42.786323457310665,9,-1,-1
72,-89.08960450751917,41.30527956202069,4,-1,-1
73,-87.45329242160473,41.581640950895974,2,-1,-1
74,-88.88610649693378,41.14964259251736,4,-1,-1
75,-87.8207481320645,42.76273024311016,3,-1,-1
76,-87.72611255074227,41.90352677946909,11,14,-1
77,-87.84276648282963,41.05492032138463,7,-1,-1
78,-87.94095168311317,41.90208846468904,5,12,13
79,-89.06526175103663,42.15925085636308,0,-1,-1
80,-88.90950541714425,41.67329136633877,4,-1,-1
81,-88.5118551091727,42.10834118957788,6,16,-1
82,-87.08617985190712,41.467525806596946,2,-1,-1
83,-87.85001526632655,41.62916859174135,11,14,-1
84,-88.17016748729166,42.29155520734761,3,-1,-1
85,-87.79229278522611,41.41927351706945,7,-1,-1
86,-87.73086184249566,41.657622778348774,11,14,-1
87,-87.20610888002498,41.57626361929747,2,-1,-1
88,-88.27244667278964,42.11585933401011,6,16,-1
89,-88.09219282752926,41.67828129120785,1,15,-1
90,-88.09583449620376,42.38191913923295,3,-1,-1
91,-88.87693201834918,42.34435807734853,0,-1,-1
92,-87.65569652076749,41.66083866062578,11,14,-1
93,-87.77806562476417,41.85266035833894,11,14,-1
94,-87.94224904924258,41.393344011974506,7,-1,-1
95,-88.4564190371608,42.44706248050104,9,-1,-1
96,-88.14538062930393,41.98860008960062,1,15,-1
97,-87.91334496179329,42.03629485806557,5,12,13
98,-87.96461602885925,42.37186047492672,3,-1,-1
99,-87.87122420090292,42.50526532971928,3,-1,-1
100,-88.3955844015108,42.777808752953455,9,-1,-1
101,-88.57678119422238,41.2214319057473,10,-1,-1
102,-87.85568153932336,41.875975426890186,5,12,13
103,-88.22592149958693,41.63508941115588,1,15,-1
104,-88.64369708624697,42.01268768111472,6,16,-1
105,-87.4062723923771,41.28214814733381,2,-1,-1
106,-86.79196918983438,41.58884136759826,8,-1,-1
107,-88.08670007781245,41.31986259737993,10,-1,-1
108,-87.55280886111719,41.714617708159125,11,14,-1
109,-87.64052885184798,41.37859944784397,7,-1,-1
110,-88.85866157682881,41.34922649816582,4,-1,-1
111,-86.61382192255118,41.53750011370558,8,-1,-1
112,-88.42203149754769,42.29947262699249,9,-1,-1
113,-88.34588556218797,42.50722441356569,9,-1,-1
114,-87.8336432007332,42.01317189029041,5,12,13
115,-87.95687644741061,42.250437085658554,5,12,13
116,-87.38583349544861,41.42233244903927,2,-1,-1
117,-87.76961383883153,41.777976738251446,11,14,-1
118,-87.98437332409479,41.829410237066476,1,15,-1
119,-87.82854467755081,42.19052790713199,5,12,13
120,-88.68679421487182,41.751285968282026,6,16,-1
121,-87.5668430292812,41.498096457649915,11,14,-1
122,-89.31086345963129,42.31129985869113,0,-1,-1
123,-88.5062686965762,41.946175586097965,6,16,-1
124,-88.98422327147831,42.280328053766475,0,-1,-1
125,-87.94285927719048,42.74734184077171,3,-1,-1
126,-87.2440111410022,41.45901447733344,2,-1,-1
127,-88.12722993855334,42.53731091647885,3,-1,-1
128,-87.67891497069493,41.953736434340854,5,12,13
129,-89.11704161960587,42.43329443937647,0,-1,-1
130,-87.63355524866942,41.830406986650075,11,14,-1
131,-88.72896241564662,42.327268080066005,9,-1,-1
132,-86.80987832203168,41.3758458404335,8,-1,-1
133,-88.0571644942783,41.04537939152583,7,-1,-1
134,-88.05970370450635,41.860501140652836,1,15,-1
135,-87.97511134747518,41.979349625754864,5,12,13
136,-88.9416088672925,41.93506515455875,0,-1,-1
137,-87.96958461992568,41.63636459878118,1,15,-1
138,-88.24621701435572,41.878761008437415,1,15,-1
139,-89.08250702134417,41.75947537708572,4,-1,-1
140,-88.14699542109432,42.06608789957086,5,12,13
141,-88.21797042922205,41.51097100398599,10,-1,-1
142,-88.27404903110136,41.35060600474394,10,-1,-1
143,-88.4912831088968,41.696727117363906,6,16,-1
144,-87.9385810374403,42.144383870000155,5,12,13
145,-87.65815475219601,41.57969578462719,11,14,-1
146,-86.71904239636766,41.67152907454364,8,-1,-1
147,-87.80323241783692,42.07877724844332,5,12,13
148,-88.29885930880582,42.33403284039083,9,-1,-1
149,-88.17104022587958,41.2403662076743,10,-1,-1
150,-88.41681735444975,42.18132804818855,6,16,-1
151,-88.67339136859465,41.33769329574801,4,-1,-1
152,-88.33865180440796,42.03516400608389,6,16,-1
153,-86.91959490083153,41.633740524831865,8,-1,-1
154,-87.77211672283897,41.58694008311793,11,14,-1
155,-88.22802451400743,41.75971033332947,1,15,-1
156,-88.35111648482447,41.808930233884254,6,16,-1
157,-89.08790944771316,42.31453818738161,0,-1,-1
158,-87.62018655289056,41.72788934177385,11,14,-1
159,-88.26458447516653,42.60957658204011,3,-1,-1
