run_index,num_towers,max_num_requests,average_runtime
0,3,1,0.0587694
0,3,2,0.30276243999999997
0,3,3,0.62600236
0,3,4,5.1420075999999995
0,3,5,16.08882776
0,3,6,9.78173866
0,3,7,122.55545780000006
0,4,1,0.10355732000000444
0,4,2,0.7587655399999904
0,4,3,3.175591499999996
0,4,4,5.705138959999999
0,4,5,18.512763380000003
0,4,6,79.74344289999989
0,4,7,71.40158104000008
0,5,1,0.3077803399999993
0,5,2,0.7075453999999809
0,5,3,4.0278496999999795
0,5,4,17.170587580000028
0,5,5,34.75822113999989
0,5,6,95.56376346000002
0,5,7,151.18651374000018
0,6,1,0.23455284000001486
0,6,2,2.673067720000017
0,6,3,7.3055280199999295
0,6,4,21.340395759999865
0,6,5,56.67463258000007
0,6,6,66.6620852600001
0,6,7,293.50853414
0,7,1,0.33064221999993604
0,7,2,1.432857299999705
0,7,3,8.03725889999987
0,7,4,30.762463939999908
0,7,5,65.89509423999934
0,7,6,191.13376088000058
0,7,7,421.1529488599996
