run_index,num_towers,max_num_requests,average_runtime
0,3,1,0.06201446000000001
0,3,2,0.32098936
0,3,3,0.6873128399999997
0,3,4,5.6271207400000005
0,3,5,16.03395368
0,3,6,9.598853039999995
0,3,7,124.01341708000001
0,4,1,0.10189944000001105
0,4,2,0.7438980799999854
0,4,3,3.048607879999986
0,4,4,5.530274719999989
0,4,5,17.88725554
0,4,6,76.62223999999995
0,4,7,71.22211000000006
0,5,1,0.18281369999999697
0,5,2,0.8946565599998849
0,5,3,4.188336860000026
0,5,4,17.500223400000003
0,5,5,35.53578102000006
0,5,6,94.68705803999995
0,5,7,158.17522900000006
0,6,1,0.2384264400000575
0,6,2,1.2885858400000871
0,6,3,9.087693519999995
0,6,4,22.730365300000088
0,6,5,76.87330681999991
0,6,6,90.54172551999946
0,6,7,391.1688626599994
0,7,1,0.4304718999999749
0,7,2,1.849670299999889
0,7,3,10.943090140000276
0,7,4,41.55555911999982
0,7,5,80.0676751400002
0,7,6,212.0139229999999
0,7,7,443.4354872599997
